PC1,PC2,source,week
24.114591898208666,-4.714391946895441,df1,9
41.82602731611518,-6.122811174380586,df1,9
-3.742025117137722,-9.357528340914941,df1,9
-3.951114048739352,-8.228592880352794,df1,9
-4.960905914481653,2.2728745067049734,df1,9
24.342927405466718,-0.9257675914635682,df1,9
0.31228296827118934,13.692477866861287,df1,9
-4.282203003704956,-7.127973172953703,df1,9
5.162096984366218,-6.807858779051086,df3,9
-0.5818476395773967,14.052008254910271,df3,9
5.885995855306422,-5.325109901096779,df3,9
-2.4584601690141485,16.957538854584392,df3,9
-6.955352484635488,-7.141571700833324,df3,9
0.5278738513979493,28.09442840365651,df3,9
1.3551717336553124,32.71400638532354,df3,9
2.210987672985207,27.67117567852653,df3,9
14.408936489743835,-7.854947599301654,df3,9
0.5640434179944627,27.185436164355117,df3,9
5.486487810806982,43.27394498659374,df3,9
0.5989792326007488,25.601314270453138,df3,9
1.2668224828416863,28.449962021320214,df3,9
100.93039159688861,-1.416103841740749,df3,9
-2.5621230886509414,14.750835869468075,df3,9
-7.256787042954621,-5.27543242153096,df4,9
101.10125031782795,2.0552567308594054,df4,9
-6.228897822688206,-5.360911003317763,df4,9
24.19838490136979,-5.106649562366592,df4,9
-7.443378827025434,-5.778909313301719,df4,9
11.341034384394225,-8.546169885756832,df4,9
-6.229317176145785,-1.3714382347702216,df4,9
-0.7012539181356457,-9.433637730103362,df4,9
-6.975412196005795,-9.05238038429491,df4,9
-5.48162849176977,1.5692950008708204,df4,9
-4.790639656200917,0.6445533887969201,df4,9
-5.8915589270562405,-3.9568062743646064,df4,9
-7.661714188966041,-7.515658534705918,df4,9
-7.987874101747729,-9.3705280385134,df4,9
-5.802638150266852,-0.10085963036988199,df4,9
-6.775105884347227,-6.643454363306849,df4,9
-7.8118678370427626,-8.71543775864772,df4,9
-5.16028604335501,0.7202490252431999,df4,9
-7.746643266209812,-7.824934582792152,df4,9
0.05317707989457132,-8.608770221788498,df4,9
-5.625814946864013,-5.114877757388251,df4,9
-6.617677166698107,-3.0798158950094967,df4,9
-6.09220838516857,-1.5561997371999807,df4,9
-5.1000150977391465,-0.870940085628005,df4,9
